feature_map_family,ansatz_family,num_qubits,depth,topology,noise_condition,expressibility_kl_mean,meyer_wallach_mean,gradient_variance_mean,expressibility_kl_std,meyer_wallach_std,gradient_variance_std
cx_ry,real_amplitudes,4,1,circular,noiseless,0.6150336753319651,0.6419421819397162,0.1622428382270309,0.10036668968568487,0.013418612251534394,0.049492316789436296
cx_ry,real_amplitudes,4,1,circular,noisy,0.6137823572343895,0.6945777194255962,0.12267702328686156,0.361354611025189,0.025256715961201305,0.04660429749259785
cx_ry,real_amplitudes,4,1,full,noiseless,0.6150336753319651,0.45814130811065795,0.16536370983635154,0.10036668968568487,0.014684499797790625,0.08630712917801364
cx_ry,real_amplitudes,4,1,full,noisy,0.8389053007610178,0.5341323272882534,0.09475805315255226,0.3892682402375688,0.024845103294116315,0.061091836329790206
cx_ry,real_amplitudes,4,1,linear,noiseless,0.6150336753319651,0.45295387093984785,0.26611717275528946,0.10036668968568487,0.016103026333001716,0.07067742503784706
cx_ry,real_amplitudes,4,1,linear,noisy,0.6209846781003873,0.47583371643920797,0.25138409777982795,0.2933268635294928,0.02987800867170992,0.08155566761562104
cx_ry,real_amplitudes,4,2,circular,noiseless,0.356979647454908,0.79387407349938,0.03205108891949231,0.04179169784203621,0.014051667185923107,0.010399928922303495
cx_ry,real_amplitudes,4,2,circular,noisy,2.2854515871240517,0.8735084288233532,0.01406664919021445,0.2487560153557528,0.016775431808507036,0.008901320337681767
cx_ry,real_amplitudes,4,2,full,noiseless,0.5847420846235927,0.5332167797051464,0.09956466598886576,0.06717278006522871,0.011631399967265879,0.03306607258215201
cx_ry,real_amplitudes,4,2,full,noisy,4.106149418281214,0.7328032430121182,0.02877845600848531,0.32488103354007,0.019512305750084544,0.017235484456485237
cx_ry,real_amplitudes,4,2,linear,noiseless,0.5633747555090013,0.5483690567351627,0.13322325642429972,0.09840413008198703,0.01554023962524743,0.045944972848784967
cx_ry,real_amplitudes,4,2,linear,noisy,0.8580900313113812,0.5826717304904648,0.10078551765029209,0.4526833486282026,0.02476194654195757,0.041817171999849974
cx_ry,real_amplitudes,4,4,circular,noiseless,0.18842679428159465,0.7814925515046773,0.05607011690905798,0.03346781242440371,0.012856645646796123,0.0063928774022030885
cx_ry,real_amplitudes,4,4,circular,noisy,7.992484740149661,0.9295444653889519,0.005764102451144859,0.18340751208360728,0.008788117501915157,0.0014821721364593528
cx_ry,real_amplitudes,4,4,full,noiseless,0.29322118605734204,0.6187876352359092,0.06886535252486282,0.048757633883835715,0.015426714702110144,0.009226091223565847
cx_ry,real_amplitudes,4,4,full,noisy,10.791614475144115,0.8867102526766042,0.00217375438182034,0.3877554931553073,0.009794971453117671,0.0005082960239135973
cx_ry,real_amplitudes,4,4,linear,noiseless,0.29095569488095013,0.6323594811412556,0.06795655871357772,0.04516389023950162,0.013564926850276673,0.015331359450852032
cx_ry,real_amplitudes,4,4,linear,noisy,1.3894009161155385,0.6852771923030806,0.04880126938293064,0.2314546820136775,0.027711616821285923,0.019324707707827245
cx_ry,real_amplitudes,4,8,circular,noiseless,0.12817788056377677,0.7661622765715597,0.058507538281312145,0.033866614330617745,0.010859894334100083,0.007379261161345073
cx_ry,real_amplitudes,4,8,circular,noisy,18.83756560531766,0.9740796802913729,0.00042789222005734,0.17971753406940616,0.003279867050415101,9.396266206530345e-05
cx_ry,real_amplitudes,4,8,full,noiseless,0.1998453536328255,0.660954279719926,0.05863094563988933,0.058138851248096965,0.01542633115018209,0.009201500099034835
cx_ry,real_amplitudes,4,8,full,noisy,26.198113225314557,0.9726605068765213,0.00011518850305133892,0.2275539064021566,0.0016173818048952093,3.675756081109308e-05
cx_ry,real_amplitudes,4,8,linear,noiseless,0.23119090753173435,0.6751830111090801,0.05786898544000446,0.03760107256121447,0.01082562355875035,0.007063396219075184
cx_ry,real_amplitudes,4,8,linear,noisy,3.1340312250623397,0.7797818802594232,0.02135483257696518,0.16231517391604425,0.011204779369855328,0.004666821686440117
cx_ry,real_amplitudes,8,1,circular,noiseless,0.3695016378563192,0.7038084568258446,0.1299258534705276,0.15684894165430838,0.008583460461333264,0.05295278375950699
cx_ry,real_amplitudes,8,1,circular,noisy,46.239858631495224,0.8960192042471518,0.04882342756239283,7.885741779726675,0.015935705608483237,0.044295105306638945
cx_ry,real_amplitudes,8,1,full,noiseless,0.3695016378563192,0.5948035850490513,0.1111016274282075,0.15684894165430838,0.009775446570331888,0.08551631617971865
cx_ry,real_amplitudes,8,1,full,noisy,inf,0.999991962177219,2.370344652485518e-16,,6.291255688203555e-07,5.019670085172154e-17
cx_ry,real_amplitudes,8,1,linear,noiseless,0.3695016378563192,0.5948491586851417,0.2724711322704617,0.15684894165430838,0.009694544672774785,0.06059412170890818
cx_ry,real_amplitudes,8,1,linear,noisy,11.047639763048926,0.7385919365943373,0.25007356589478597,3.528547881930406,0.025098770580435383,0.07288085073529395
cx_ry,real_amplitudes,8,2,circular,noiseless,0.3109851825909695,0.884120691383304,0.00496906780798959,0.11479021661007505,0.006093403271336917,0.0029333933613705987
cx_ry,real_amplitudes,8,2,circular,noisy,96.18401315827205,0.9557201408908244,1.112309185496501e-19,7.622755915401993,0.007735923265310972,1.2125674967489165e-19
cx_ry,real_amplitudes,8,2,full,noiseless,0.6880243230378253,0.6333097111772003,0.044188753709236486,0.13470980967732307,0.005880440171911984,0.04296157955172106
cx_ry,real_amplitudes,8,2,full,noisy,inf,0.9999896276412066,1.021937381762444e-34,,1.0788902125531044e-07,4.0626678920292296e-35
cx_ry,real_amplitudes,8,2,linear,noiseless,0.5679304139264235,0.7212119186135527,0.13411941276320685,0.1980267106335663,0.011023480947493666,0.04302025829980791
cx_ry,real_amplitudes,8,2,linear,noisy,34.3113754380549,0.8029898204935575,0.10232752100485407,7.009662867878689,0.023508322447015208,0.03668285335996399
cx_ry,real_amplitudes,8,4,circular,noiseless,0.02396200333039068,0.9555731228089874,0.00385925869523438,0.017213037835124376,0.002894452042680812,0.0003620430991705782
cx_ry,real_amplitudes,8,4,circular,noisy,inf,0.9959343139455974,7.885535445141456e-13,,0.0008562164629853817,1.5944015308548123e-12
cx_ry,real_amplitudes,8,4,full,noiseless,0.13152999104970137,0.7990056004506866,0.013068088803943539,0.04481213817360044,0.007824804313702126,0.012020560692077221
cx_ry,real_amplitudes,8,4,full,noisy,inf,0.9999897474660606,1.1269513450875039e-34,,1.3735785136575885e-07,3.6081181860590893e-35
cx_ry,real_amplitudes,8,4,linear,noiseless,0.14429654720394294,0.8332386324321227,0.03321628059758448,0.038024749561185366,0.007811305592276681,0.014597586121260508
cx_ry,real_amplitudes,8,4,linear,noisy,140.56681011247645,0.8929857925936874,0.02656294892076702,11.185485244482612,0.017485645687174964,0.02158251576200001
cx_ry,real_amplitudes,8,8,circular,noiseless,0.017065660061635,0.9796912449880424,0.00410581622191983,0.007131021235058119,0.0013779781301302206,0.0003072541045613165
cx_ry,real_amplitudes,8,8,circular,noisy,inf,0.9999566210977505,4.9182352763554174e-27,,2.7774309543301634e-05,6.123003916199674e-27
cx_ry,real_amplitudes,8,8,full,noiseless,0.03984429938069311,0.9189691771480943,0.004113375602326641,0.016090524230997216,0.004932422097913176,0.0006774670960566985
cx_ry,real_amplitudes,8,8,full,noisy,inf,0.999990783884604,1.3037743252691425e-34,,1.5878533082466896e-07,2.515376893822943e-35
cx_ry,real_amplitudes,8,8,linear,noiseless,0.05187168456811024,0.9280850147969162,0.00469528330375169,0.013433577087926111,0.0051286220542514395,0.0007434251613674681
cx_ry,real_amplitudes,8,8,linear,noisy,inf,0.9633127634498214,0.00041758571112390205,,0.009171437411854782,0.0007291505505086295
cx_ry,real_amplitudes,10,1,circular,noiseless,0.5364451716914705,0.7152633967425956,0.13211673062294976,0.41043982719320393,0.007553149440031258,0.03758310673791338
cx_ry,real_amplitudes,10,1,circular,noisy,inf,0.919279011463906,1.1066013308394793e-24,,0.010294639051164471,1.336225705514107e-24
cx_ry,real_amplitudes,10,1,full,noiseless,0.5364451716914705,0.6290235916742484,0.10503101167496473,0.41043982719320393,0.00744312065284913,0.08539821434584727
cx_ry,real_amplitudes,10,1,full,noisy,inf,0.9999921229745168,2.3530073613209664e-21,,5.467047960478526e-07,2.7125808671674108e-21
cx_ry,real_amplitudes,10,1,linear,noiseless,0.5364451716914705,0.6292874343914842,0.26367896159044363,0.41043982719320393,0.009095210364815606,0.060882354790988254
cx_ry,real_amplitudes,10,1,linear,noisy,inf,0.7886810079031832,0.23862384043795362,,0.013424144748146686,0.06804370896824936
cx_ry,real_amplitudes,10,2,circular,noiseless,0.3222220767225368,0.8905031595136915,0.00367310813495592,0.19164870911701926,0.00561503282531936,0.002757267190688352
cx_ry,real_amplitudes,10,2,circular,noisy,inf,0.9784186969350808,1.4680208089407687e-34,,0.002551080980802844,5.889665872046897e-35
cx_ry,real_amplitudes,10,2,full,noiseless,0.5278090869934485,0.6525030182351393,0.04131612313721087,0.27810664548528546,0.005913214657045519,0.04762308543538529
cx_ry,real_amplitudes,10,2,full,noisy,inf,0.9999933071556104,6.531751759167444e-26,,5.737539883840744e-11,2.2915356594024926e-26
cx_ry,real_amplitudes,10,2,linear,noiseless,0.4643475316514557,0.7592500296408671,0.134928782870881,0.25511933952310867,0.00479717214251006,0.04467351198291499
cx_ry,real_amplitudes,10,2,linear,noisy,inf,0.8550455253500602,0.1081216687532978,,0.010906649455323091,0.03772516579389079
cx_ry,real_amplitudes,10,4,circular,noiseless,0.008186556499668145,0.9661525800332808,0.00119503833974757,0.013181606869361592,0.0019904570549222293,0.00026467876738446344
cx_ry,real_amplitudes,10,4,circular,noisy,inf,0.9956799909349984,1.0184580638097821e-05,,0.0010204775182881284,1.3122341639868513e-05
cx_ry,real_amplitudes,10,4,full,noiseless,0.03615191937968778,0.8280537836958007,0.00705526671723167,0.03950411826504282,0.004962704438531298,0.008175672413714419
cx_ry,real_amplitudes,10,4,full,noisy,inf,0.9999934635635777,1.5478765156433212e-34,,4.326357248092973e-10,4.928383635235355e-35
cx_ry,real_amplitudes,10,4,linear,noiseless,0.05836563764408427,0.8641010150357398,0.03225036804388509,0.07525790620615538,0.004484657188459071,0.013459790806510465
cx_ry,real_amplitudes,10,4,linear,noisy,inf,0.9195275782691045,0.02068654423897105,,0.00925995145868428,0.01324637329456677
cx_ry,real_amplitudes,10,8,circular,noiseless,8.740648201398856e-10,0.993107552275673,0.00092858635757565,0.0,0.00037463750777053724,8.257572333764078e-05
cx_ry,real_amplitudes,10,8,circular,noisy,inf,0.9999776769232384,5.15250316742005e-14,,1.2145056739260517e-05,1.3467603734481864e-13
cx_ry,real_amplitudes,10,8,full,noiseless,0.008186556499668145,0.9421567378355636,0.0013169695216934002,0.013181606869361592,0.002704631274276006,0.0007624504122408879
cx_ry,real_amplitudes,10,8,full,noisy,inf,0.9999934634204994,1.1298751260642073e-34,,5.361692941009905e-10,2.06034351177833e-35
cx_ry,real_amplitudes,10,8,linear,noiseless,0.0027288527492659283,0.9502887818607306,0.00197946199432695,0.008629387322857052,0.002820612118673097,0.0005259456678282239
cx_ry,real_amplitudes,10,8,linear,noisy,inf,0.9741311259966118,0.0002660838066146354,,0.005940962479544286,0.00045248808880367727
cx_ry,rotation_only,4,1,circular,noiseless,0.6150336753319651,0.6419421819397162,0.14829871204158634,0.10036668968568487,0.013418612251534394,0.1290736053749609
cx_ry,rotation_only,4,1,circular,noisy,0.6137823572343895,0.6945777194255962,1.5981838130126253e-33,0.361354611025189,0.025256715961201305,6.260931224149643e-34
cx_ry,rotation_only,4,1,full,noiseless,0.6150336753319651,0.45814130811065795,0.2149769202088576,0.10036668968568487,0.014684499797790625,0.1742568393656249
cx_ry,rotation_only,4,1,full,noisy,0.8389053007610178,0.5341323272882534,2.561741357545853e-07,0.3892682402375688,0.024845103294116315,1.0373747175647088e-07
cx_ry,rotation_only,4,1,linear,noiseless,0.6150336753319651,0.45295387093984785,0.3011044759171304,0.10036668968568487,0.016103026333001716,0.19452557630200112
cx_ry,rotation_only,4,1,linear,noisy,0.6209846781003873,0.47583371643920797,0.2989495633485016,0.2933268635294928,0.02987800867170992,0.19982112345343872
cx_ry,rotation_only,4,2,circular,noiseless,0.356979647454908,0.79387407349938,0.05470104870029256,0.04179169784203621,0.014051667185923107,0.039640512595146025
cx_ry,rotation_only,4,2,circular,noisy,2.2854515871240517,0.8735084288233532,1.020384433563363e-33,0.2487560153557528,0.016775431808507036,3.2587527027258167e-34
cx_ry,rotation_only,4,2,full,noiseless,0.5847420846235927,0.5332167797051464,0.17243575455760413,0.06717278006522871,0.011631399967265879,0.16924713336716898
cx_ry,rotation_only,4,2,full,noisy,4.106149418281214,0.7328032430121182,0.09913032141549102,0.32488103354007,0.019512305750084544,0.09462712999053267
cx_ry,rotation_only,4,2,linear,noiseless,0.5633747555090013,0.5483690567351627,0.2736864906568328,0.09840413008198703,0.01554023962524743,0.18261478415777246
cx_ry,rotation_only,4,2,linear,noisy,0.8580900313113812,0.5826717304904648,0.24313112786503183,0.4526833486282026,0.02476194654195757,0.16677454032306493
cx_ry,rotation_only,4,4,circular,noiseless,0.18842679428159465,0.7814925515046773,0.04227214713139922,0.03346781242440371,0.012856645646796123,0.03833539753942227
cx_ry,rotation_only,4,4,circular,noisy,7.992484740149661,0.9295444653889519,6.476996024568793e-34,0.18340751208360728,0.008788117501915157,1.764832386739606e-34
cx_ry,rotation_only,4,4,full,noiseless,0.29322118605734204,0.6187876352359092,0.21752720839162434,0.048757633883835715,0.015426714702110144,0.1583974955783669
cx_ry,rotation_only,4,4,full,noisy,10.791614475144115,0.8867102526766042,0.06516788560594354,0.3877554931553073,0.009794971453117671,0.05890331715554831
cx_ry,rotation_only,4,4,linear,noiseless,0.29095569488095013,0.6323594811412556,0.18683757187993577,0.04516389023950162,0.013564926850276673,0.17426199527745487
cx_ry,rotation_only,4,4,linear,noisy,1.3894009161155385,0.6852771923030806,0.1641531818258593,0.2314546820136775,0.027711616821285923,0.1607632012388852
cx_ry,rotation_only,4,8,circular,noiseless,0.12817788056377677,0.7661622765715597,0.09332584322381085,0.033866614330617745,0.010859894334100083,0.09380906067389971
cx_ry,rotation_only,4,8,circular,noisy,18.83756560531766,0.9740796802913729,6.066470682409151e-33,0.17971753406940616,0.003279867050415101,2.5805260577174108e-33
cx_ry,rotation_only,4,8,full,noiseless,0.1998453536328255,0.660954279719926,0.14883371561730913,0.058138851248096965,0.01542633115018209,0.08441327355862252
cx_ry,rotation_only,4,8,full,noisy,26.198113225314557,0.9726605068765213,6.69461091526295e-11,0.2275539064021566,0.0016173818048952093,6.56424480921306e-11
cx_ry,rotation_only,4,8,linear,noiseless,0.23119090753173435,0.6751830111090801,0.17213696898851077,0.03760107256121447,0.01082562355875035,0.1417497152846726
cx_ry,rotation_only,4,8,linear,noisy,3.1340312250623397,0.7797818802594232,0.1336957400620158,0.16231517391604425,0.011204779369855328,0.12811440793561452
cx_ry,rotation_only,8,1,circular,noiseless,0.3695016378563192,0.7038084568258446,0.08937931299374367,0.15684894165430838,0.008583460461333264,0.11610145838622571
cx_ry,rotation_only,8,1,circular,noisy,46.239858631495224,0.8960192042471518,2.153990565636032e-33,7.885741779726675,0.015935705608483237,1.5618676705812276e-33
cx_ry,rotation_only,8,1,full,noiseless,0.3695016378563192,0.5948035850490513,0.20532610405306437,0.15684894165430838,0.009775446570331888,0.1669298399116429
cx_ry,rotation_only,8,1,full,noisy,inf,0.999991962177219,3.1041641397393525e-06,,6.291255688203555e-07,1.0146538020524285e-06
cx_ry,rotation_only,8,1,linear,noiseless,0.3695016378563192,0.5948491586851417,0.2885171688168358,0.15684894165430838,0.009694544672774785,0.1738419974332753
cx_ry,rotation_only,8,1,linear,noisy,11.047639763048926,0.7385919365943373,0.234347370487076,3.528547881930406,0.025098770580435383,0.14517772089197864
cx_ry,rotation_only,8,2,circular,noiseless,0.3109851825909695,0.884120691383304,0.02405795558401121,0.11479021661007505,0.006093403271336917,0.023284553196363654
cx_ry,rotation_only,8,2,circular,noisy,96.18401315827205,0.9557201408908244,0.01648089434711465,7.622755915401993,0.007735923265310972,0.01831355203224521
cx_ry,rotation_only,8,2,full,noiseless,0.6880243230378253,0.6333097111772003,0.14094975844726418,0.13470980967732307,0.005880440171911984,0.17557744573861822
cx_ry,rotation_only,8,2,full,noisy,inf,0.9999896276412066,5.210534311728211e-06,,1.0788902125531044e-07,4.120915386333218e-06
cx_ry,rotation_only,8,2,linear,noiseless,0.5679304139264235,0.7212119186135527,0.2745025888739413,0.1980267106335663,0.011023480947493666,0.1833890260765088
cx_ry,rotation_only,8,2,linear,noisy,34.3113754380549,0.8029898204935575,0.2555311137123388,7.009662867878689,0.023508322447015208,0.18284061949022826
cx_ry,rotation_only,8,4,circular,noiseless,0.02396200333039068,0.9555731228089874,0.0030975439171762494,0.017213037835124376,0.002894452042680812,0.0032830853667871907
cx_ry,rotation_only,8,4,circular,noisy,inf,0.9959343139455974,7.677234061278149e-35,,0.0008562164629853817,7.40652951081313e-35
