feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance,kta,svm_accuracy
zz,rotation_only,4,1,linear,0,noiseless,0.06712708140521696,0.5944321321247716,0.09527572496742671,0.20020357316505172,0.4
zz,rotation_only,4,1,linear,1,noiseless,0.1037028534785211,0.5998136164134654,0.14903712136233754,0.20020357316505172,0.4
zz,rotation_only,4,1,linear,2,noiseless,0.06924147259721905,0.6053654763884098,0.01466425232168454,0.20020357316505172,0.4
zz,rotation_only,4,1,circular,0,noiseless,0.05764661414110803,0.7148930876138212,0.08218944904615975,0.195818474874962,0.4
zz,rotation_only,4,1,circular,1,noiseless,0.04719935984257767,0.7119189757220405,0.1452789960103874,0.195818474874962,0.4
zz,rotation_only,4,1,circular,2,noiseless,0.07033654523779222,0.7229709836607201,0.008673207755945357,0.195818474874962,0.4
zz,rotation_only,4,8,linear,0,noiseless,0.12194015017254817,0.5424908030892577,0.008476887993372793,0.22341684009863036,0.4
zz,rotation_only,4,8,linear,1,noiseless,0.08530189893965846,0.5608620696841294,0.030955161596870326,0.22341684009863036,0.4
zz,rotation_only,4,8,linear,2,noiseless,0.06966104344747122,0.5432307817909483,0.13179406499637747,0.22341684009863036,0.4
zz,rotation_only,4,8,circular,0,noiseless,0.06013526818253211,0.6803740956932961,0.0008940340947253717,0.19945813617857117,0.4
zz,rotation_only,4,8,circular,1,noiseless,0.06395585423237066,0.6599663100360673,0.034198908310472904,0.19945813617857117,0.4
zz,rotation_only,4,8,circular,2,noiseless,0.06709894173651687,0.6641151711138272,0.08331935465095315,0.19945813617857117,0.4
zz,rotation_only,10,1,linear,0,noiseless,0.05735363511904183,0.6675810516120031,0.0966431957682116,0.18327547169787542,0.4
zz,rotation_only,10,1,linear,1,noiseless,8.740648201398857e-10,0.6723186349494558,0.15692827202585238,0.18327547169787542,0.4
zz,rotation_only,10,1,linear,2,noiseless,0.09716592002621112,0.6740164220291649,0.015960220382029672,0.18327547169787542,0.4
zz,rotation_only,10,1,circular,0,noiseless,0.05735363511904183,0.713858551405094,0.09564872653602353,0.18323917048649144,0.4
zz,rotation_only,10,1,circular,1,noiseless,8.740648201398857e-10,0.7189991066368836,0.1387394717741458,0.18323917048649144,0.4
