feature_map_family,ansatz_family,num_qubits,depth,topology,noise_condition,expressibility_kl_mean,meyer_wallach_mean,gradient_variance_mean,kta_mean,svm_accuracy_mean,expressibility_kl_std,meyer_wallach_std,gradient_variance_std,kta_std,svm_accuracy_std
cx_ry,real_amplitudes,4,1,circular,noiseless,0.5789389624664211,0.6392562621758889,0.13416462417550326,0.3714858423623113,0.6666666666666666,0.12838662536595405,0.00964914388394084,0.06261767948721433,0.0,0.0
cx_ry,real_amplitudes,4,1,linear,noiseless,0.5789389624664211,0.4523825732741191,0.21291167299287006,0.37148584236231114,0.6666666666666666,0.12838662536595405,0.0067136545115119425,0.07239898765989157,0.0,0.0
cx_ry,real_amplitudes,4,8,circular,noiseless,0.1369708871548244,0.762179628723742,0.05565424431031674,0.27203253360291774,0.5333333333333333,0.03608862386686323,0.0060715721243298345,0.005667896018595311,0.0,0.0
cx_ry,real_amplitudes,4,8,linear,noiseless,0.23591750740026673,0.6726730800492616,0.059292739027607254,0.15438738078793077,0.4000000000000001,0.011806043550728016,0.006579024606177627,0.004035507840537593,0.0,0.0
cx_ry,real_amplitudes,10,1,circular,noiseless,0.6277529668263232,0.7149537211353486,0.1571249015874966,0.20019508581723078,0.4000000000000001,0.35319747244788774,0.006864498928701361,0.040130544403974344,0.0,0.0
cx_ry,real_amplitudes,10,1,linear,noiseless,0.6277529668263232,0.6255554448951761,0.21787797157769773,0.20019508581723075,0.4000000000000001,0.35319747244788774,0.008591690619358541,0.05959046934719975,0.0,0.0
cx_ry,real_amplitudes,10,8,circular,noiseless,8.740648201398856e-10,0.992869342112716,0.0009059269976203786,0.18334435757375245,0.4000000000000001,0.0,0.00016694310479651724,0.00010812246173696357,0.0,0.0
cx_ry,real_amplitudes,10,8,linear,noiseless,8.740648201398856e-10,0.9497451840422689,0.0016291497081054485,0.18336627775125666,0.4000000000000001,0.0,0.000528164811406813,0.00025062799085489565,0.0,0.0
cx_ry,rotation_only,4,1,circular,noiseless,0.5789389624664211,0.6392562621758889,0.1608016981546421,0.3714858423623113,0.6666666666666666,0.12838662536595405,0.00964914388394084,0.12944766056063509,0.0,0.0
cx_ry,rotation_only,4,1,linear,noiseless,0.5789389624664211,0.4523825732741191,0.11564131957518298,0.37148584236231114,0.6666666666666666,0.12838662536595405,0.0067136545115119425,0.09982909341182088,0.0,0.0
