feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
local_z,rotation_only,8,2,linear,0,noiseless,3.4784612192094455,1.0998979504961425e-14,0.4148913835761418
local_z,rotation_only,8,2,linear,0,noisy,2.4227269432508347,0.004517285564388196,0.4780396327733748
local_z,rotation_only,8,2,linear,1,noiseless,2.961540214588296,1.0983436382616674e-14,0.3864607820606274
local_z,rotation_only,8,2,linear,1,noisy,3.412834548731066,0.004545714936615508,0.40007532953243213
local_z,rotation_only,8,2,linear,2,noiseless,3.6724576801086006,1.1014522627306177e-14,0.35969788714156886
local_z,rotation_only,8,2,linear,2,noisy,4.967277351775561,0.00449093689604448,0.36423669392117
local_z,rotation_only,8,2,linear,3,noiseless,3.348415110874941,1.09889874977398e-14,0.3437363375629206
local_z,rotation_only,8,2,linear,3,noisy,5.364993824804448,0.004632579228461053,0.3091916287160867
local_z,rotation_only,8,2,linear,4,noiseless,4.066785624434143,1.1050049764094183e-14,0.36708123867823533
local_z,rotation_only,8,2,linear,4,noisy,3.7976856773699583,0.004552821691627155,0.41886546767404437
local_z,rotation_only,8,2,linear,5,noiseless,4.194354265932312,1.1026735080577054e-14,0.4470325290704794
local_z,rotation_only,8,2,linear,5,noisy,4.070389911451895,0.004468896863480783,0.4809346523157657
local_z,rotation_only,8,2,linear,6,noiseless,4.211073412054731,1.096567281422267e-14,0.3917247583570554
local_z,rotation_only,8,2,linear,6,noisy,4.199449336469533,0.004608552067296764,0.30374961746553686
local_z,rotation_only,8,2,linear,7,noiseless,3.1638077682746135,1.1036727087798681e-14,0.48619592067259326
local_z,rotation_only,8,2,linear,7,noisy,3.154179235825338,0.004616637741613413,0.43398133508638426
local_z,rotation_only,8,2,linear,8,noiseless,3.757418552002091,1.1124434706744069e-14,0.49563493262827846
local_z,rotation_only,8,2,linear,8,noisy,3.997334084550052,0.004571288306881449,0.4247141275405456
local_z,rotation_only,8,2,linear,9,noiseless,4.091119280010086,1.095679103002567e-14,0.3775030826903394
local_z,rotation_only,8,2,linear,9,noisy,6.912778573529518,0.004586796792505199,0.35344002400993124
