feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,rotation_only,8,2,linear,0,noiseless,0.17941841079039184,0.5444714683190842,0.09264348489828894
zz,rotation_only,8,2,linear,0,noisy,36.45015460731732,0.7747746086507346,0.09881053950872483
zz,rotation_only,8,2,linear,1,noiseless,0.10826683086032166,0.5566571383213096,0.15345134619491982
zz,rotation_only,8,2,linear,1,noisy,34.339676913597934,0.7783722145683243,0.16106381122459673
zz,rotation_only,8,2,linear,2,noiseless,0.0929579207355794,0.5342652358389346,0.03047976265247541
zz,rotation_only,8,2,linear,2,noisy,37.86915646735985,0.7962888413857743,0.02691913225242748
zz,rotation_only,8,2,linear,3,noiseless,0.16341014408531687,0.5369677285603669,0.22028586867996847
zz,rotation_only,8,2,linear,3,noisy,35.97131602323682,0.751988744269137,0.19656237876721017
zz,rotation_only,8,2,linear,4,noiseless,0.1374791836335288,0.5245782339676438,0.3163286353517697
zz,rotation_only,8,2,linear,4,noisy,33.54655956127575,0.7537812211822963,0.33525902490577425
zz,rotation_only,8,2,linear,5,noiseless,0.13205317975862702,0.5459436755966194,0.19336963455812314
zz,rotation_only,8,2,linear,5,noisy,36.35038486220624,0.8078950344330889,0.1473857462416439
zz,rotation_only,8,2,linear,6,noiseless,0.13360070178678934,0.5459661180848964,0.3891355408265247
zz,rotation_only,8,2,linear,6,noisy,40.365091427871306,0.7992820289395074,0.31583903905299515
zz,rotation_only,8,2,linear,7,noiseless,0.1396619011026016,0.5379200736183449,0.47616228732940047
zz,rotation_only,8,2,linear,7,noisy,34.68181243883426,0.8003972244026898,0.3886801240593318
zz,rotation_only,8,2,linear,8,noiseless,0.21057082406274202,0.5494513461209624,0.49344690823993964
zz,rotation_only,8,2,linear,8,noisy,34.06301299578641,0.801470741281193,0.3888696883697281
zz,rotation_only,8,2,linear,9,noiseless,0.11529118743350633,0.521932500963512,0.09150442019396486
zz,rotation_only,8,2,linear,9,noisy,33.09501472897522,0.7583282726531844,0.08552769127361565
