feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,rotation_only,10,1,linear,0,noiseless,0.05735363511904183,0.6675810516120029,0.09664319576821664
zz,rotation_only,10,1,linear,0,noisy,79.01412284876669,0.8368936456111525,0.1043855040775493
zz,rotation_only,10,1,linear,1,noiseless,8.740648201398857e-10,0.6723186349494558,0.1569282720258539
zz,rotation_only,10,1,linear,1,noisy,45.971506414738,0.8349694793197915,0.13456862665117655
zz,rotation_only,10,1,linear,2,noiseless,0.09716592002621112,0.674016422029165,0.015960220382028753
zz,rotation_only,10,1,linear,2,noisy,75.97499933042428,0.8673425189038437,0.01735735243318638
zz,rotation_only,10,1,linear,3,noiseless,0.06987339325548499,0.6829773254160537,0.027186519433317277
zz,rotation_only,10,1,linear,3,noisy,52.18245563162331,0.8434670828618134,0.024343608937063752
zz,rotation_only,10,1,linear,4,noiseless,0.05735363511904183,0.6710937884440691,0.27130535290379715
zz,rotation_only,10,1,linear,4,noisy,63.92511711506846,0.8469265401907772,0.24001152059169098
zz,rotation_only,10,1,linear,5,noiseless,8.740648201398857e-10,0.6811162692732802,0.19265950509775895
zz,rotation_only,10,1,linear,5,noisy,66.99503659182795,0.8410860613941221,0.19454289972397423
zz,rotation_only,10,1,linear,6,noiseless,8.740648201398857e-10,0.6851678878089941,0.12709977803785888
zz,rotation_only,10,1,linear,6,noisy,72.35745462125217,0.8740802554298408,0.09617531802341145
zz,rotation_only,10,1,linear,7,noiseless,8.740648201398857e-10,0.6752588337823485,0.0011835670605971022
zz,rotation_only,10,1,linear,7,noisy,76.07489750539756,0.8577985081052979,0.0010480811118216801
zz,rotation_only,10,1,linear,8,noiseless,0.1698199252155419,0.6591175385799706,0.02589530822213066
zz,rotation_only,10,1,linear,8,noisy,inf,0.8714787809147556,0.02493230401611916
zz,rotation_only,10,1,linear,9,noiseless,8.740648201398857e-10,0.6657764222213467,0.07347692758520998
zz,rotation_only,10,1,linear,9,noisy,60.60546785268179,0.8328549928381307,0.06461985150591826
