feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
local_z,real_amplitudes,8,8,linear,0,noiseless,2.3485350668046774,4.500289030318072e-14,0.018237448281877167
local_z,real_amplitudes,8,8,linear,0,noisy,2.8157712058378115,0.016213030884876814,0.007361150177057466
local_z,real_amplitudes,8,8,linear,1,noiseless,2.6184733102229223,4.492739513750621e-14,0.006542509221440711
local_z,real_amplitudes,8,8,linear,1,noisy,1.4971334311349953,0.016179151786140385,0.0025172746729634605
local_z,real_amplitudes,8,8,linear,2,noiseless,2.4240027381534803,4.5021764094599346e-14,0.013255516579656491
local_z,real_amplitudes,8,8,linear,2,noisy,0.8261745975009083,0.016054580271570185,0.004851062676523279
local_z,real_amplitudes,8,8,linear,3,noiseless,2.189037376841871,4.5087267253052234e-14,0.0035107827320236757
local_z,real_amplitudes,8,8,linear,3,noisy,2.552465707744863,0.016297570466214273,0.003495176599290394
local_z,real_amplitudes,8,8,linear,4,noiseless,2.18543327009652,4.5043968555091854e-14,0.016070836291586284
local_z,real_amplitudes,8,8,linear,4,noisy,1.9810747835805425,0.016177697596612316,0.008147385054590346
local_z,real_amplitudes,8,8,linear,5,noiseless,3.0749034613171413,4.507283435373211e-14,0.013753644580853796
local_z,real_amplitudes,8,8,linear,5,noisy,3.8425304850986,0.01601877627169739,0.010016499442167605
local_z,real_amplitudes,8,8,linear,6,noiseless,2.859256554669621,4.500066985713147e-14,0.006040591980004289
local_z,real_amplitudes,8,8,linear,6,noisy,1.7774699196280919,0.01630770528823672,0.00284589047969988
local_z,real_amplitudes,8,8,linear,7,noiseless,2.3921321100466986,4.50328663248456e-14,0.026158337016848807
local_z,real_amplitudes,8,8,linear,7,noisy,2.3320954624303782,0.01632863622036817,0.01980469485443512
local_z,real_amplitudes,8,8,linear,8,noiseless,2.625464355119873,4.5042858332067224e-14,0.009285318080165876
local_z,real_amplitudes,8,8,linear,8,noisy,1.4095727192911212,0.016212603900521216,0.009912438468194918
local_z,real_amplitudes,8,8,linear,9,noiseless,2.157401057002512,4.5056181008362726e-14,0.004514743225603404
local_z,real_amplitudes,8,8,linear,9,noisy,2.063643549559941,0.016211619607558198,0.0018347137922344876
