feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
cx_ry,real_amplitudes,4,1,full,0,noiseless,0.5771422388841538,0.43789701427236666,0.06689408062217642
cx_ry,real_amplitudes,4,1,full,0,noisy,1.3916777596079908,0.5643262000388224,0.024683272516445365
cx_ry,real_amplitudes,4,1,full,1,noiseless,0.4514601284199194,0.47120371371849074,0.10382312884253217
cx_ry,real_amplitudes,4,1,full,1,noisy,0.6592658107510808,0.5578744455338075,0.05741061190147392
cx_ry,real_amplitudes,4,1,full,2,noiseless,0.7082145200951898,0.46857505389477844,0.11759427428117583
cx_ry,real_amplitudes,4,1,full,2,noisy,1.0560613394333487,0.5512999733145162,0.0793959893344634
cx_ry,real_amplitudes,4,1,full,3,noiseless,0.6000604349757858,0.43331581947287107,0.28262678326846574
cx_ry,real_amplitudes,4,1,full,3,noisy,0.5596630786693366,0.5141706811543169,0.21185751706209294
cx_ry,real_amplitudes,4,1,full,4,noiseless,0.7140055623360786,0.46930221935553734,0.11427088841695987
cx_ry,real_amplitudes,4,1,full,4,noisy,0.559351353175695,0.5557741647896487,0.03732801231661719
cx_ry,real_amplitudes,4,1,full,5,noiseless,0.5366767843616412,0.449368488517336,0.3149811375633461
cx_ry,real_amplitudes,4,1,full,5,noisy,0.7084297065030213,0.5216422372487304,0.17741784949133046
cx_ry,real_amplitudes,4,1,full,6,noiseless,0.5576426777977291,0.47653163658543124,0.08501867165253063
cx_ry,real_amplitudes,4,1,full,6,noisy,0.5139270556667918,0.5381215511821118,0.05544074033559184
cx_ry,real_amplitudes,4,1,full,7,noiseless,0.5731962636156664,0.46513761647781104,0.17652367286976356
cx_ry,real_amplitudes,4,1,full,7,noisy,0.9725926204103085,0.5006074647627335,0.133161789169781
cx_ry,real_amplitudes,4,1,full,8,noiseless,0.6378439254623864,0.4513544754923956,0.1508014254879538
cx_ry,real_amplitudes,4,1,full,8,noisy,0.41834774114191886,0.4947769687167722,0.08781041343804571
cx_ry,real_amplitudes,4,1,full,9,noiseless,0.7940942173711001,0.4587270433195617,0.2411030353586116
cx_ry,real_amplitudes,4,1,full,9,noisy,1.5497365422506864,0.5427295861410747,0.08307433595968114
