feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,real_amplitudes,10,2,circular,0,noiseless,8.740648201398857e-10,0.6253132804341207,0.0004655473425205703
zz,real_amplitudes,10,2,circular,0,noisy,inf,0.9090440759254956,2.8616083909367465e-08
zz,real_amplitudes,10,2,circular,1,noiseless,8.740648201398857e-10,0.6284329830814882,0.010039234962832499
zz,real_amplitudes,10,2,circular,1,noisy,inf,0.9058803658967953,2.2642456272346444e-07
zz,real_amplitudes,10,2,circular,2,noiseless,0.027288519626075924,0.62433430528196,0.0016775476511817734
zz,real_amplitudes,10,2,circular,2,noisy,413.7851535497003,0.906999702035042,5.240770402950776e-08
zz,real_amplitudes,10,2,circular,3,noiseless,8.740648201398857e-10,0.636003219056204,0.0019872094038144656
zz,real_amplitudes,10,2,circular,3,noisy,inf,0.8999010932109492,1.0256549325206317e-07
zz,real_amplitudes,10,2,circular,4,noiseless,0.21834682544405137,0.615735397143234,0.004781225342900251
zz,real_amplitudes,10,2,circular,4,noisy,inf,0.8966368766059681,5.219381128551393e-07
zz,real_amplitudes,10,2,circular,5,noiseless,0.05735363511904183,0.6246383835467825,0.008138612471201514
zz,real_amplitudes,10,2,circular,5,noisy,inf,0.89913210179444,2.4296197334498065e-07
zz,real_amplitudes,10,2,circular,6,noiseless,8.740648201398857e-10,0.6303811657505853,0.0010896766603474058
zz,real_amplitudes,10,2,circular,6,noisy,inf,0.930817723774973,3.5171479803529866e-08
zz,real_amplitudes,10,2,circular,7,noiseless,8.740648201398857e-10,0.6214840541177427,0.00129186485828165
zz,real_amplitudes,10,2,circular,7,noisy,417.17174674968066,0.907336948975579,2.1674664314870355e-07
zz,real_amplitudes,10,2,circular,8,noiseless,0.09716592002621112,0.6237033266182784,0.019088304436308056
zz,real_amplitudes,10,2,circular,8,noisy,inf,0.9146264791547766,3.5755879869232255e-07
zz,real_amplitudes,10,2,circular,9,noiseless,8.740648201398857e-10,0.6050080664490897,0.00893063769911415
zz,real_amplitudes,10,2,circular,9,noisy,inf,0.8821508970440234,1.1130692203909216e-07
