feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,real_amplitudes,4,8,full,0,noiseless,0.04776535806964419,0.7676402756119016,0.03075987935673217
zz,real_amplitudes,4,8,full,0,noisy,39.73934662885708,0.9936865111302406,2.8198972721288645e-05
zz,real_amplitudes,4,8,full,1,noiseless,0.027292699762610687,0.736355569380662,0.022485404473975033
zz,real_amplitudes,4,8,full,1,noisy,39.33487804765364,0.9928037387583228,8.156917121044096e-06
zz,real_amplitudes,4,8,full,2,noiseless,0.05689890022730377,0.7707694779628187,0.027992200723564543
zz,real_amplitudes,4,8,full,2,noisy,39.82556854286078,0.9916948190380599,2.1343103626026128e-05
zz,real_amplitudes,4,8,full,3,noiseless,0.07541549022629548,0.7436141306627273,0.027974866398049622
zz,real_amplitudes,4,8,full,3,noisy,39.82398627817395,0.9924821719249112,1.5525340673613574e-05
zz,real_amplitudes,4,8,full,4,noiseless,0.05368843086440247,0.7434000931555272,0.027274134962228226
zz,real_amplitudes,4,8,full,4,noisy,39.24890868745962,0.982840548572133,1.4488821410516192e-05
zz,real_amplitudes,4,8,full,5,noiseless,0.06906285703270713,0.7567701547687006,0.027692497103046644
zz,real_amplitudes,4,8,full,5,noisy,39.01958693456091,0.990574183192366,1.5533677856735524e-05
zz,real_amplitudes,4,8,full,6,noiseless,0.0452902390271751,0.7568056667879222,0.03161842679619286
zz,real_amplitudes,4,8,full,6,noisy,40.1781008136007,0.9930347726785039,1.8742219974909667e-05
zz,real_amplitudes,4,8,full,7,noiseless,0.057019363273189946,0.7607119011011122,0.029716981447073153
zz,real_amplitudes,4,8,full,7,noisy,40.173331689570716,0.992594519810629,2.0388803697109978e-05
zz,real_amplitudes,4,8,full,8,noiseless,0.05665145474562116,0.7499097066540767,0.008937198560537258
zz,real_amplitudes,4,8,full,8,noisy,39.52896981107135,0.9931108923079187,1.2886336976610461e-05
zz,real_amplitudes,4,8,full,9,noiseless,0.06316244416729204,0.744866680787978,0.034599149422611136
zz,real_amplitudes,4,8,full,9,noisy,39.45102401815665,0.9905329921352235,1.9772239667107584e-05
