feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
cx_ry,real_amplitudes,8,4,full,0,noiseless,0.08409659933090158,0.8061801040804955,0.006920832569569677
cx_ry,real_amplitudes,8,4,full,0,noisy,inf,0.9999898125073025,7.111061647961033e-35
cx_ry,real_amplitudes,8,4,full,1,noiseless,0.15527112432843895,0.7984200795958895,0.0054420350019272435
cx_ry,real_amplitudes,8,4,full,1,noisy,inf,0.9999896107979377,1.4973102229098057e-34
cx_ry,real_amplitudes,8,4,full,2,noiseless,0.10968622587828178,0.8060225461953582,0.00600706731756994
cx_ry,real_amplitudes,8,4,full,2,noisy,inf,0.9999896435490929,1.1057985070991334e-34
cx_ry,real_amplitudes,8,4,full,3,noiseless,0.1780138422516433,0.8012501279971016,0.021729194054045192
cx_ry,real_amplitudes,8,4,full,3,noisy,inf,0.9999898681849796,1.7649781232210464e-34
cx_ry,real_amplitudes,8,4,full,4,noiseless,0.09202832400565131,0.8036452264552253,0.006228321472131644
cx_ry,real_amplitudes,8,4,full,4,noisy,inf,0.999989954115764,1.1190622629118784e-34
cx_ry,real_amplitudes,8,4,full,5,noiseless,0.1500802076128488,0.7958373330331711,0.04287873678702575
cx_ry,real_amplitudes,8,4,full,5,noisy,inf,0.9999897454288185,9.341261774534445e-35
cx_ry,real_amplitudes,8,4,full,6,noiseless,0.13805191237689213,0.8094825278695211,0.006276849485763727
cx_ry,real_amplitudes,8,4,full,6,noisy,inf,0.9999895857021363,6.923484096085815e-35
cx_ry,real_amplitudes,8,4,full,7,noiseless,0.08087362470290418,0.7842037071523583,0.007228036609419679
cx_ry,real_amplitudes,8,4,full,7,noisy,inf,0.9999895682572603,9.636671341525091e-35
cx_ry,real_amplitudes,8,4,full,8,noiseless,0.1085911075300674,0.7923185571809719,0.008405423265150863
cx_ry,real_amplitudes,8,4,full,8,noisy,inf,0.9999898094671361,1.5367420502976559e-34
cx_ry,real_amplitudes,8,4,full,9,noiseless,0.21860694247938472,0.7926957949467734,0.019564391476832275
cx_ry,real_amplitudes,8,4,full,9,noisy,inf,0.9999898766501794,9.4437439842488e-35
