feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,real_amplitudes,10,8,linear,0,noiseless,0.027288519626075924,0.6899865980588507,0.0033407953860604186
zz,real_amplitudes,10,8,linear,0,noisy,inf,0.9295642286434607,0.00010129897525017304
zz,real_amplitudes,10,8,linear,1,noiseless,0.08846926296649268,0.6885292929473243,0.011124400201059946
zz,real_amplitudes,10,8,linear,1,noisy,inf,0.9292367341377746,0.000835019383187677
zz,real_amplitudes,10,8,linear,2,noiseless,0.12723505158613285,0.670758826022153,0.002681771646721934
zz,real_amplitudes,10,8,linear,2,noisy,inf,0.943566528416863,1.8931857849168107e-05
zz,real_amplitudes,10,8,linear,3,noiseless,0.15257713459015412,0.6921396105989939,0.005779948071200843
zz,real_amplitudes,10,8,linear,3,noisy,inf,0.9308025229546106,0.0008283057517512071
zz,real_amplitudes,10,8,linear,4,noiseless,0.40164513024562126,0.6560264412159765,0.007212578769375506
zz,real_amplitudes,10,8,linear,4,noisy,inf,0.9311235332088535,0.000890085766955252
zz,real_amplitudes,10,8,linear,5,noiseless,0.08846926296649268,0.6790069353069208,0.010130890356349311
zz,real_amplitudes,10,8,linear,5,noisy,inf,0.9178847024080174,0.0014462508868854711
zz,real_amplitudes,10,8,linear,6,noiseless,8.740648201398857e-10,0.6881615743686352,0.008859674758597048
zz,real_amplitudes,10,8,linear,6,noisy,inf,0.9419217087024798,0.004368786962236334
zz,real_amplitudes,10,8,linear,7,noiseless,0.027288519626075924,0.6707134419689438,0.009960216931665216
zz,real_amplitudes,10,8,linear,7,noisy,inf,0.9349266440865882,0.0006210465740713993
zz,real_amplitudes,10,8,linear,8,noiseless,0.027288519626075924,0.6843365380971455,0.006360573165248204
zz,real_amplitudes,10,8,linear,8,noisy,inf,0.9456961284851949,0.00039473239211653804
zz,real_amplitudes,10,8,linear,9,noiseless,0.027288519626075924,0.6624296318834964,0.006332131031133552
zz,real_amplitudes,10,8,linear,9,noisy,inf,0.9175465262716326,0.0008732468277272103
