feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
cx_ry,rotation_only,4,8,circular,0,noiseless,0.17692794098735654,0.7585137345209821,0.0025048943416779114
cx_ry,rotation_only,4,8,circular,0,noisy,18.916213341094835,0.9715655587595938,1.0357009264266426e-32
cx_ry,rotation_only,4,8,circular,1,noiseless,0.10674715846543417,0.7588371625245662,0.15287317655892266
cx_ry,rotation_only,4,8,circular,1,noisy,18.584688809415795,0.9755166702895787,6.701380237603408e-33
cx_ry,rotation_only,4,8,circular,2,noiseless,0.1272375620116824,0.7691879891256777,0.056147326753800596
cx_ry,rotation_only,4,8,circular,2,noisy,19.113318188954768,0.9748367592146676,5.4102047040538e-33
cx_ry,rotation_only,4,8,circular,3,noiseless,0.06948992537264642,0.7700408118146806,0.3290647195672306
cx_ry,rotation_only,4,8,circular,3,noisy,18.925101788216256,0.9744135893739428,6.30255224495322e-33
cx_ry,rotation_only,4,8,circular,4,noiseless,0.14731600015727297,0.7654760299196062,0.041261293441577494
cx_ry,rotation_only,4,8,circular,4,noisy,18.931809399321576,0.9723686763134762,8.337618219522399e-33
cx_ry,rotation_only,4,8,circular,5,noiseless,0.11122080722853195,0.774566471433573,0.056668702190549286
cx_ry,rotation_only,4,8,circular,5,noisy,19.003944163773628,0.9763609564357965,6.237873097654215e-33
cx_ry,rotation_only,4,8,circular,6,noiseless,0.14965361403052385,0.7803978773528283,0.09381298111920458
cx_ry,rotation_only,4,8,circular,6,noisy,18.915943072331128,0.9788780077396098,3.3269904808749394e-33
cx_ry,rotation_only,4,8,circular,7,noiseless,0.11725828810522064,0.7761340688536216,0.0473930240951017
cx_ry,rotation_only,4,8,circular,7,noisy,18.651842300156893,0.9744972735103994,5.138809076057231e-33
cx_ry,rotation_only,4,8,circular,8,noiseless,0.17412825604350446,0.7657958219987765,0.03352903014703993
cx_ry,rotation_only,4,8,circular,8,noisy,18.68935814252233,0.9756292043727276,7.720036684022223e-33
cx_ry,rotation_only,4,8,circular,9,noiseless,0.10179925323559465,0.7426727981712841,0.12000328402300435
cx_ry,rotation_only,4,8,circular,9,noisy,18.64343684738939,0.9667301069039377,1.1322328150836513e-33
