feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,rotation_only,4,4,linear,0,noiseless,0.11577412965151322,0.49318783794448734,0.026204730311425613
zz,rotation_only,4,4,linear,0,noisy,2.5432331048857884,0.6863491790688062,0.019006311232553134
zz,rotation_only,4,4,linear,1,noiseless,0.08822153473327564,0.5173952167089234,0.11347260196639695
zz,rotation_only,4,4,linear,1,noisy,2.346523509649124,0.6630330542667858,0.0797192822373669
zz,rotation_only,4,4,linear,2,noiseless,0.10627677154054516,0.5157692170156869,0.12944185841003492
zz,rotation_only,4,4,linear,2,noisy,2.4728340305305583,0.6586588593225257,0.10014563022281203
zz,rotation_only,4,4,linear,3,noiseless,0.12471931651487617,0.4997343976974007,0.1158252579344941
zz,rotation_only,4,4,linear,3,noisy,2.485948172110004,0.6336190079260304,0.06586409427487133
zz,rotation_only,4,4,linear,4,noiseless,0.10147805917536035,0.49605553473033326,0.35406468258095686
zz,rotation_only,4,4,linear,4,noisy,2.6910462223060834,0.5635745286379182,0.3214632246986827
zz,rotation_only,4,4,linear,5,noiseless,0.2088265860464154,0.4913507586912965,0.0873070396832251
zz,rotation_only,4,4,linear,5,noisy,2.69314148382645,0.6181304024901617,0.06135535943881278
zz,rotation_only,4,4,linear,6,noiseless,0.09140522480687005,0.5494884644279123,0.41004518851655264
zz,rotation_only,4,4,linear,6,noisy,2.6680068577078524,0.7008458845310976,0.3763088975455132
zz,rotation_only,4,4,linear,7,noiseless,0.15260906204348906,0.5172098379010971,0.003535462924319489
zz,rotation_only,4,4,linear,7,noisy,2.8054276224823793,0.6477581977255983,0.0030891174372868774
zz,rotation_only,4,4,linear,8,noiseless,0.14181265394594625,0.5163746734900384,0.09797269732804287
zz,rotation_only,4,4,linear,8,noisy,2.689714945737903,0.6810998786590137,0.07487553801582848
zz,rotation_only,4,4,linear,9,noiseless,0.13824213271650262,0.49811201501213626,0.024943878040233583
zz,rotation_only,4,4,linear,9,noisy,2.74212337490329,0.6398395164498457,0.02205401029702679
