feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
cx_ry,rotation_only,10,2,linear,0,noiseless,0.24061149462705872,0.7583590515324476,0.03684890471511411
cx_ry,rotation_only,10,2,linear,0,noisy,149.09966627938695,0.8749983176049821,0.02939148481403348
cx_ry,rotation_only,10,2,linear,1,noiseless,0.66234353439357,0.7517930247610597,0.28536402253697224
cx_ry,rotation_only,10,2,linear,1,noisy,137.76659171563358,0.86264462740276,0.20850916607768422
cx_ry,rotation_only,10,2,linear,2,noiseless,0.27808551909524515,0.7703839083056591,0.1085879731779168
cx_ry,rotation_only,10,2,linear,2,noisy,inf,0.8534065792794794,0.09711674141589616
cx_ry,rotation_only,10,2,linear,3,noiseless,1.0670747228447344,0.7598761814053552,0.3726233958123657
cx_ry,rotation_only,10,2,linear,3,noisy,135.98184067544852,0.8404336695938229,0.3010004268358867
cx_ry,rotation_only,10,2,linear,4,noiseless,0.4549492034690763,0.7609105971127665,0.1418346394935875
cx_ry,rotation_only,10,2,linear,4,noisy,166.26518165983734,0.8562251644365156,0.15049641733947777
cx_ry,rotation_only,10,2,linear,5,noiseless,0.25519007061742266,0.7577270253548417,0.5079442021773961
cx_ry,rotation_only,10,2,linear,5,noisy,inf,0.8596940292466367,0.4567706296069491
cx_ry,rotation_only,10,2,linear,6,noiseless,0.3942799225242607,0.757888474683748,0.48992424544769425
cx_ry,rotation_only,10,2,linear,6,noisy,146.1314566970429,0.8585563163609525,0.4540118969355847
cx_ry,rotation_only,10,2,linear,7,noiseless,0.468012846201472,0.761512359330588,0.20136506470535281
cx_ry,rotation_only,10,2,linear,7,noisy,120.11931038722952,0.8598332910288778,0.17947131528843938
cx_ry,rotation_only,10,2,linear,8,noiseless,0.5601039167530362,0.758509374317966,0.07195180604572833
cx_ry,rotation_only,10,2,linear,8,noisy,inf,0.8394155119948886,0.07478371798758253
cx_ry,rotation_only,10,2,linear,9,noiseless,0.2628240859886816,0.7555402996042387,0.530237562362368
cx_ry,rotation_only,10,2,linear,9,noisy,141.01686167828692,0.8452477465516862,0.42679830867486646
