feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,real_amplitudes,8,2,full,0,noiseless,0.0014558860827622103,0.9586538464200989,0.002203847041906317
zz,real_amplitudes,8,2,full,0,noisy,inf,0.999971948488766,1.5170564382358852e-34
zz,real_amplitudes,8,2,full,1,noiseless,0.013939773455326133,0.9571805271698982,0.002749353841714419
zz,real_amplitudes,8,2,full,1,noisy,inf,0.9999665764324686,1.2589931104337635e-34
zz,real_amplitudes,8,2,full,2,noiseless,0.011256841101143705,0.9573813596658411,0.0020807988451798155
zz,real_amplitudes,8,2,full,2,noisy,inf,0.9999680970905244,1.0348028278449371e-34
zz,real_amplitudes,8,2,full,3,noiseless,0.006526564076685977,0.9547962466454561,0.002573511785714724
zz,real_amplitudes,8,2,full,3,noisy,inf,0.9999702021479361,1.439398579443162e-34
zz,real_amplitudes,8,2,full,4,noiseless,0.011256841101143705,0.9465581057020042,0.004634956523139183
zz,real_amplitudes,8,2,full,4,noisy,inf,0.9999631784067388,8.018626877505229e-35
zz,real_amplitudes,8,2,full,5,noiseless,0.019848915501085966,0.9536486952445377,0.0018225453540784032
zz,real_amplitudes,8,2,full,5,noisy,inf,0.9999635972828488,1.1032824267464402e-34
zz,real_amplitudes,8,2,full,6,noiseless,0.017821495460286642,0.9564438751950598,0.0031553162403757285
zz,real_amplitudes,8,2,full,6,noisy,inf,0.9999751154501892,1.571106190928628e-34
zz,real_amplitudes,8,2,full,7,noiseless,0.011256841101143705,0.9549474828606748,0.0016537327493216165
zz,real_amplitudes,8,2,full,7,noisy,inf,0.9999700161925771,1.2487114531785711e-34
zz,real_amplitudes,8,2,full,8,noiseless,0.016808865243574004,0.9501028262367199,0.002513658446255885
zz,real_amplitudes,8,2,full,8,noisy,inf,0.9999717571893619,7.271639400702695e-35
zz,real_amplitudes,8,2,full,9,noiseless,0.008778325056301894,0.9448888023609936,0.0019321668221515867
zz,real_amplitudes,8,2,full,9,noisy,inf,0.9999652462117313,7.261524924866283e-35
