feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
cx_ry,rotation_only,8,8,full,0,noiseless,0.05624719218191802,0.9265836433750784,0.005034687974716067
cx_ry,rotation_only,8,8,full,0,noisy,inf,0.9999906652163213,2.094835421552056e-34
cx_ry,rotation_only,8,8,full,1,noiseless,0.04767198094604372,0.9152616297805379,0.01856476405907729
cx_ry,rotation_only,8,8,full,1,noisy,inf,0.9999910028908168,1.9094709337079893e-34
cx_ry,rotation_only,8,8,full,2,noiseless,0.019848915501085966,0.9221567833413283,0.050713198591482544
cx_ry,rotation_only,8,8,full,2,noisy,inf,0.9999909933574697,1.607240364830971e-34
cx_ry,rotation_only,8,8,full,3,noiseless,0.03898591263705716,0.9214074628891697,0.12863453263044985
cx_ry,rotation_only,8,8,full,3,noisy,inf,0.9999906416603717,2.1160758208085144e-34
cx_ry,rotation_only,8,8,full,4,noiseless,0.017821495460286642,0.92101907624864,7.172372057983e-05
cx_ry,rotation_only,8,8,full,4,noisy,inf,0.999990575646012,2.1361187831529347e-34
cx_ry,rotation_only,8,8,full,5,noiseless,0.05275196441769455,0.9179439651051944,0.4277273365473036
cx_ry,rotation_only,8,8,full,5,noisy,inf,0.99999076181024,2.0604190367277143e-34
cx_ry,rotation_only,8,8,full,6,noiseless,0.03131743620809062,0.92322533066597,0.008054165198816084
cx_ry,rotation_only,8,8,full,6,noisy,inf,0.9999908691752165,1.8602715319277062e-34
cx_ry,rotation_only,8,8,full,7,noiseless,0.029853949224177417,0.9139868292244578,0.007438542497484868
cx_ry,rotation_only,8,8,full,7,noisy,inf,0.9999909399509943,1.976385296576131e-34
cx_ry,rotation_only,8,8,full,8,noiseless,0.03646444616595832,0.909893719396762,0.012997073826719186
cx_ry,rotation_only,8,8,full,8,noisy,inf,0.9999907628565319,2.269907803302257e-34
cx_ry,rotation_only,8,8,full,9,noiseless,0.06747970106461904,0.9182133314538041,0.08050873903706865
cx_ry,rotation_only,8,8,full,9,noisy,inf,0.9999906262820659,2.6661779202450576e-34
