feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
cx_ry,rotation_only,10,8,linear,0,noiseless,8.740648201398857e-10,0.9497127046448626,0.03887524079572822
cx_ry,rotation_only,10,8,linear,0,noisy,inf,0.9804566466269354,9.327265868583618e-05
cx_ry,rotation_only,10,8,linear,1,noiseless,8.740648201398857e-10,0.9492340084543467,0.011746199334004434
cx_ry,rotation_only,10,8,linear,1,noisy,inf,0.9736741117245086,0.009044301397509173
cx_ry,rotation_only,10,8,linear,2,noiseless,8.740648201398857e-10,0.9502888390275982,0.003594561133253016
cx_ry,rotation_only,10,8,linear,2,noisy,inf,0.9737377844006675,0.0003818079468195081
cx_ry,rotation_only,10,8,linear,3,noiseless,8.740648201398857e-10,0.9453013202348124,0.1324778966359305
cx_ry,rotation_only,10,8,linear,3,noisy,inf,0.9644408328896233,0.08540227361171165
cx_ry,rotation_only,10,8,linear,4,noiseless,8.740648201398857e-10,0.9492605074758171,0.028402441277699114
cx_ry,rotation_only,10,8,linear,4,noisy,inf,0.9743444458094529,0.0016950341810948119
cx_ry,rotation_only,10,8,linear,5,noiseless,8.740648201398857e-10,0.9471125339938097,0.3063836502010952
cx_ry,rotation_only,10,8,linear,5,noisy,inf,0.9714035329672799,0.24703621537391368
cx_ry,rotation_only,10,8,linear,6,noiseless,0.027288519626075924,0.9524331278833341,0.012226916699134283
cx_ry,rotation_only,10,8,linear,6,noisy,inf,0.977938473249063,0.001855729848383436
cx_ry,rotation_only,10,8,linear,7,noiseless,8.740648201398857e-10,0.954846414893399,0.022657209471978686
cx_ry,rotation_only,10,8,linear,7,noisy,inf,0.9801753502995275,0.012966077779868856
cx_ry,rotation_only,10,8,linear,8,noiseless,8.740648201398857e-10,0.9519771175145073,0.023468029405320303
cx_ry,rotation_only,10,8,linear,8,noisy,inf,0.9803156837395814,0.004417623734562768
cx_ry,rotation_only,10,8,linear,9,noiseless,8.740648201398857e-10,0.9527212444848194,0.4518475963903108
cx_ry,rotation_only,10,8,linear,9,noisy,inf,0.9648243982594784,0.25717439649668417
