feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
local_z,real_amplitudes,10,1,full,0,noiseless,0.21834682544405137,6.331601909437268e-15,0.19132437262837598
local_z,real_amplitudes,10,1,full,0,noisy,8.740648201398857e-10,0.002922609252376285,4.3176997550530527e-23
local_z,real_amplitudes,10,1,full,1,noiseless,0.3596627139939541,6.3815619455453994e-15,0.13234950298020232
local_z,real_amplitudes,10,1,full,1,noisy,0.26286503861081606,0.0029226092523757003,2.3956764950141665e-23
local_z,real_amplitudes,10,1,full,2,noiseless,0.14065692245246147,6.3171690101171406e-15,0.1300164526142431
local_z,real_amplitudes,10,1,full,2,noisy,8.740648201398857e-10,0.002922609252376063,2.398050295928049e-23
local_z,real_amplitudes,10,1,full,3,noiseless,0.2435244508399863,6.313838341043265e-15,0.13056638086415884
local_z,real_amplitudes,10,1,full,3,noisy,8.740648201398857e-10,0.0029226092523763664,3.040249696144837e-23
local_z,real_amplitudes,10,1,full,4,noiseless,0.2558958012712013,6.3171690101171406e-15,0.18118601493208358
local_z,real_amplitudes,10,1,full,4,noisy,8.740648201398857e-10,0.0029226092523760333,2.806802767858495e-23
local_z,real_amplitudes,10,1,full,5,noiseless,0.09716592002621112,6.293854326600012e-15,0.22441172486687783
local_z,real_amplitudes,10,1,full,5,noisy,8.740648201398857e-10,0.0029226092523759145,5.1206767879494055e-23
local_z,real_amplitudes,10,1,full,6,noiseless,0.12723505158613285,6.339373470609644e-15,0.08703684463305102
local_z,real_amplitudes,10,1,full,6,noisy,8.740648201398857e-10,0.0029226092523760554,1.4683553416833477e-23
local_z,real_amplitudes,10,1,full,7,noiseless,0.2717351788828903,6.300515664747763e-15,0.0005276919604892106
local_z,real_amplitudes,10,1,full,7,noisy,8.740648201398857e-10,0.002922609252376063,1.0766317645502974e-25
local_z,real_amplitudes,10,1,full,8,noiseless,1.0454373625684652,6.3438143627081445e-15,0.012396550027694188
local_z,real_amplitudes,10,1,full,8,noisy,0.26286503861081606,0.0029226092523759813,2.0990468215860763e-24
local_z,real_amplitudes,10,1,full,9,noiseless,0.8764863065117383,6.293854326600012e-15,0.08958296832862453
local_z,real_amplitudes,10,1,full,9,noisy,0.5491174817686235,0.0029226092523761144,1.7622785117032525e-23
