feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance
zz,rotation_only,10,4,full,0,noiseless,8.740648201398857e-10,0.9773759543663562,0.0002117955382996268
zz,rotation_only,10,4,full,0,noisy,inf,0.9999872768720841,4.258462078619067e-35
zz,rotation_only,10,4,full,1,noiseless,8.740648201398857e-10,0.9763614553755837,0.000324136075133497
zz,rotation_only,10,4,full,1,noisy,inf,0.9999879601889909,4.934266841955142e-35
zz,rotation_only,10,4,full,2,noiseless,8.740648201398857e-10,0.9765040077604948,0.00032401410079809634
zz,rotation_only,10,4,full,2,noisy,inf,0.9999859458511271,6.183225671389319e-35
zz,rotation_only,10,4,full,3,noiseless,8.740648201398857e-10,0.9743069341291439,0.0019376607935097624
zz,rotation_only,10,4,full,3,noisy,inf,0.9999859943043252,6.08276008753904e-35
zz,rotation_only,10,4,full,4,noiseless,8.740648201398857e-10,0.9702593388743356,0.004467814613557625
zz,rotation_only,10,4,full,4,noisy,inf,0.9999828646064784,8.797822899520296e-35
zz,rotation_only,10,4,full,5,noiseless,8.740648201398857e-10,0.9738412271849185,0.0006491017006593949
zz,rotation_only,10,4,full,5,noisy,inf,0.9999848488878122,5.878521862398171e-35
zz,rotation_only,10,4,full,6,noiseless,8.740648201398857e-10,0.97518452817856,0.0003370754321914041
zz,rotation_only,10,4,full,6,noisy,inf,0.9999897869497544,4.092397379468733e-35
zz,rotation_only,10,4,full,7,noiseless,8.740648201398857e-10,0.9719139986096286,0.0033809169271195607
zz,rotation_only,10,4,full,7,noisy,inf,0.9999892989009249,5.283873229042868e-35
zz,rotation_only,10,4,full,8,noiseless,8.740648201398857e-10,0.9701736720717841,0.0024990786177276113
zz,rotation_only,10,4,full,8,noisy,inf,0.9999874077613551,3.0518563106450157e-35
zz,rotation_only,10,4,full,9,noiseless,8.740648201398857e-10,0.9685606556977533,0.00063502596565207
zz,rotation_only,10,4,full,9,noisy,inf,0.9999868247124557,4.795280308228417e-35
